Database Fundamentals,Computer Architecture,Distributed Computing Systems,Cyber Security,Networking,Software Development,Programming Skills,Project Management,Computer Forensics Fundamentals,Technical Communication,AI ML,Software Engineering,Business Analysis,Communication skills,Data Science,Troubleshooting skills,Graphics Designing,Openness,Conscientousness,Extraversion,Agreeableness,Emotional_Range,Conversation,Openness to Change,Hedonism,Self-enhancement,Self-transcendence,Role
5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,1,5,3,2,1,1,2,Database Administrator
5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,3,2,4,2,2,1,1,2,Database Administrator
5,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,3,3,3,3,3,2,2,4,Database Administrator
5,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,3,3,5,4,2,3,3,4,Database Administrator
5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,3,2,1,3,3,2,Database Administrator
5,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,1,3,1,1,4,3,3,Database Administrator
5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,1,1,4,2,1,3,3,2,Database Administrator
5,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,3,2,4,2,2,1,1,2,Database Administrator
5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,3,3,5,4,2,3,3,4,Database Administrator
5,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,3,2,1,3,3,2,Database Administrator
5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,3,1,1,4,3,3,Database Administrator
5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,4,2,1,3,3,2,Database Administrator
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,1,5,3,2,1,1,2,Database Administrator
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,4,2,2,1,1,2,Database Administrator
5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,3,3,3,3,3,2,2,4,Database Administrator
5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,3,5,4,2,3,3,4,Database Administrator
5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,3,2,1,3,3,2,Database Administrator
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,4,2,1,3,3,2,Database Administrator
5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,4,2,2,1,1,2,Database Administrator
5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,3,3,3,3,3,2,2,4,Database Administrator
5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,3,5,4,2,3,3,4,Database Administrator
5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,1,1,1,3,2,1,3,3,2,Database Administrator
5,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,1,3,1,1,4,3,3,Database Administrator
5,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,4,2,1,3,3,2,Database Administrator
5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,4,1,5,3,2,1,1,2,Database Administrator
5,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,2,4,2,2,1,1,2,Database Administrator
5,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,3,3,3,3,3,3,2,2,4,Database Administrator
5,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,3,3,5,4,2,3,3,4,Database Administrator
5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,1,1,1,3,2,1,3,3,2,Database Administrator
5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,1,1,4,3,3,Database Administrator
5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,4,2,1,3,3,2,Database Administrator
5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,1,5,3,2,1,1,2,Database Administrator
5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,3,3,3,3,3,2,2,4,Database Administrator
5,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,3,3,5,4,2,3,3,4,Database Administrator
5,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,3,2,1,3,3,2,Database Administrator
5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,1,3,1,1,4,3,3,Database Administrator
5,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,1,1,4,2,1,3,3,2,Database Administrator
5,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,3,3,3,3,3,2,2,4,Database Administrator
5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,3,2,1,3,3,2,Database Administrator
5,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,1,3,1,1,4,3,3,Database Administrator
5,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,4,2,1,3,3,2,Database Administrator
5,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,1,5,3,2,1,1,2,Database Administrator
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,3,3,3,3,3,2,2,4,Database Administrator
5,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,3,5,4,2,3,3,4,Database Administrator
5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,3,2,1,3,3,2,Database Administrator
5,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,3,1,1,4,3,3,Database Administrator
5,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,3,3,3,3,3,2,2,4,Database Administrator
5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,3,5,4,2,3,3,4,Database Administrator
5,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,1,1,1,3,2,1,3,3,2,Database Administrator
5,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,1,3,1,1,4,3,3,Database Administrator
5,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,4,2,1,3,3,2,Database Administrator
5,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,4,1,5,3,2,1,1,2,Database Administrator
